number,k_number,sensitivity/recall,specificity,precision,f_measure,accuracy
0,1,0.43759432136245185(0.023222319013430977),0.9878248497927059(0.0037865241319432015),0.8811764705882352(0.037370306292396696),0.5844221029042783(0.025354715600749755),0.8285(0.009340770846134671)
0,2,0.4651992792989971(0.027388321319721586),0.989596871810142(0.002944208696338908),0.8976470588235295(0.02931749598676968),0.6123268660897748(0.026311019683946116),0.8354999999999999(0.009851395840184282)
0,3,0.4405008816593009(0.02666181628939308),0.9885345487002567(0.0029361938554202864),0.8882352941176471(0.028937350297056106),0.5884827954203037(0.026319665729626695),0.8281000000000001(0.009822932352408834)
0,4,0.44533980005948753(0.021743127504162088),0.9884429946019146(0.0018405980335220228),0.8870588235294118(0.01837705806095685),0.5926284836590503(0.01999897740036455),0.8302999999999999(0.008741281370600087)
0,5,0.4420040569011817(0.021892617216802905),0.9887963110577666(0.004213877696210089),0.8905882352941177(0.04177713154015223),0.5904562002961058(0.024998126328903032),0.8284999999999998(0.008674675786448724)
0,10,0.44897803542640186(0.022569169784128772),0.9898776633031623(0.003207284175687568),0.9011764705882352(0.03165558599311462),0.5990542838092744(0.023806426482831832),0.8291000000000001(0.007993122043357033)
0,15,0.4272449217536837(0.018709579164699626),0.9889602462317946(0.0035640984959594986),0.8929411764705882(0.03547014925101492),0.5774981398140248(0.018433620550584135),0.8220000000000001(0.01067707825203127)
0,20,0.4403869011849129(0.01228529019524942),0.9896038560184813(0.002328420135552771),0.8988235294117647(0.023054021108547575),0.5909820281956997(0.012847971486289621),0.8263999999999999(0.006135144660071166)
0,30,0.4502116239140677(0.026892269438024044),0.989407872428244(0.0019722085377677527),0.8964705882352941(0.01954499732451312),0.5988312473820273(0.024154326433908423),0.8301000000000001(0.011440716760762823)
0,40,0.4506246357216287(0.019239440668321974),0.9882390553665175(0.002411696631291672),0.8847058823529412(0.02399538594631899),0.5968907516527888(0.019538162869398815),0.8328999999999999(0.006729784543356501)
0,50,0.44292885967263107(0.03128645606608484),0.9901956121389783(0.003859094338522661),0.9047058823529411(0.03737030629239668),0.5941475115505908(0.03267739143540614),0.8257(0.011627983488120348)
1,1,0.5113305002440378(0.021845919260351787),0.9817084194102927(0.004730607333976973),0.8865079365079366(0.029706297257480797),0.648353180223034(0.023101149186816577),0.7813000000000001(0.008695401083331356)
1,2,0.5380180902209636(0.03101648992622904),0.9830598764649675(0.0025639653503094113),0.8936507936507937(0.0170957612924905),0.6709882059551011(0.02220331976777029),0.79(0.01302305647687975)
1,3,0.5212604819258324(0.0205588243075164),0.9813064704083745(0.0029248325078643444),0.8833333333333332(0.018459846586687322),0.6554005369347222(0.018429167314291593),0.7862000000000001(0.00813387976306511)
1,4,0.5269136793232881(0.022251346895838867),0.9828539626850501(0.005337221406038306),0.8928571428571429(0.033718485374996825),0.6624879780649473(0.023596719928857764),0.7863(0.008271033792700893)
1,5,0.514749415299186(0.02187161802120744),0.979809041304566(0.005324905544647625),0.8738095238095239(0.03431105765272583),0.6474500838343713(0.021204185930779204),0.7857999999999999(0.01105260150371849)
1,10,0.5210820242367986(0.021615306485588324),0.9825582513206707(0.003890001212092857),0.8912698412698413(0.025359595728048325),0.6572430594332443(0.018035669211552682),0.7841(0.01106752004741804)
1,15,0.5102683973303613(0.026819249232654066),0.9825443414637641(0.0039095418832846476),0.8920634920634921(0.024124895481858206),0.6489125974518362(0.02580371852207896),0.7792999999999999(0.009550392662084642)
1,20,0.5162398946832273(0.022465145689621255),0.9794278191651132(0.004832726592980914),0.8714285714285716(0.030491067797299272),0.6481858175313439(0.02387753641445434),0.7871(0.007712976079309472)
1,30,0.49782691941747065(0.023029639372655626),0.9788379042340439(0.003319999448384628),0.8690476190476192(0.02077182909254348),0.632788760427192(0.021728599826470758),0.7797000000000001(0.008832326986700624)
1,40,0.4962122917000749(0.016473468189943784),0.9799526160425038(0.0037086513718849975),0.8761904761904763(0.023862375203766537),0.6333680482713305(0.01573193902840529),0.7773(0.008866228059327153)
1,50,0.49649122099307175(0.02435636061962878),0.9800645051345246(0.004112574464017771),0.8769841269841271(0.02565592043689621),0.63368754293564(0.022807945455192564),0.777(0.010871982339941518)
2,1,0.563036247757815(0.03886513974348118),0.9874237541404474(0.004420918224119996),0.9120689655172415(0.030794088102571993),0.6956859241891612(0.035497221344826094),0.8114000000000001(0.011473447607410736)
2,2,0.5829927624638325(0.025916129899867354),0.9884917008593899(0.000972094603641196),0.9189655172413793(0.006896551724137901),0.7130644666143886(0.019338541705689313),0.8168(0.007984985911070828)
2,3,0.5430422823200438(0.02412534095639993),0.9855243653863308(0.004968037393441945),0.8991379310344827(0.034921774311257064),0.6769706225714881(0.026795331988008736),0.8078000000000001(0.0060464865831323655)
2,4,0.5603407886328596(0.028189113381094102),0.9863429399637085(0.003133788088078691),0.9043103448275861(0.02229744337306476),0.6915335631638682(0.02371620341614687),0.8124(0.008879189152169209)
2,5,0.5617118678854982(0.017245523095459875),0.9863673563117314(0.002247155573235189),0.9043103448275861(0.01655980406232634),0.6926389149024155(0.010058623537846794),0.813(0.008485281374238535)
2,10,0.5657510991147706(0.02891694278477355),0.9870882307410828(0.0026423543476646037),0.9094827586206897(0.018589533321420507),0.6971821438120649(0.02417539794826485),0.8130999999999998(0.009082400563727592)
2,15,0.5627374104259208(0.02940636547083254),0.9894972765045955(0.0016925433823766912),0.9267241379310345(0.012342949192479621),0.6996892523027627(0.02150656281569576),0.8084(0.011146299834474188)
2,20,0.5837003814036261(0.02429565760806489),0.9884039529306424(0.003703097934811698),0.9181034482758621(0.026500734739550686),0.713185440346893(0.018675853486910598),0.8171999999999999(0.009897474425326859)
2,30,0.5822126198208963(0.023947395439704342),0.9894542734575402(0.0029576170790136984),0.9258620689655173(0.02083283788550788),0.7146513438906497(0.02139877340342405),0.8152999999999999(0.006753517601961191)
2,40,0.6123884508207825(0.020919320062545616),0.9876856823732556(0.005051061090839685),0.9120689655172415(0.03632984052707842),0.7326252207213199(0.024631115537307433),0.8272(0.004935585071701231)
2,50,0.6057914630930885(0.025942541334802446),0.990271458425384(0.00392494008996242),0.9310344827586207(0.028066932062240854),0.7337197750377881(0.024239015113930756),0.8215(0.007172865536171678)
